ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
1	65152	2	2	0.000000	18.717046	18.704706	0.000000	0.000000	0	0	0
2	42212	0	2	0.000000	18.294821	18.273216	0.000000	0.000000	0	0	0
3	8386	1	0	0.000000	18.634271	18.634271	0.000000	0.000000	0	0	0
4	56977	2	0	0.000000	19.150429	19.146972	0.000000	0.000000	0	0	0
5	21801	1	0	0.000000	18.161277	18.161277	0.000000	0.000000	0	0	0
6	20900	1	2	0.000000	18.458230	18.447656	0.000000	0.000000	0	0	0
7	33932	2	0	0.000000	18.861547	18.848285	0.000000	0.000000	0	0	0
8	97575	1	0	0.000000	18.888824	18.868122	0.000000	0.000000	0	0	0
9	8832	2	1	0.000000	17.820086	17.820086	0.000000	0.000000	0	0	0
10	16923	2	0	0.000000	18.462566	18.462566	0.000000	0.000000	0	0	0
11	52699	1	0	0.000000	18.738041	18.729350	0.000000	0.000000	0	0	0
12	101946	1	0	0.000000	18.783680	18.777912	0.000000	0.000000	0	0	0
13	48604	2	1	0.000000	19.856946	19.854456	0.000000	0.000000	0	0	0
14	44743	2	0	0.000000	19.069396	19.062893	0.000000	0.000000	0	0	0
15	63162	1	1	0.000000	19.179222	19.171021	0.000000	0.000000	0	0	0
16	7766	1	2	0.000000	17.104172	17.090136	0.000000	0.000000	0	0	0
17	30918	0	1	0.000000	19.253218	19.250372	0.000000	0.000000	0	0	0
18	53636	0	1	0.000000	19.898240	19.893281	0.000000	0.000000	0	0	0
19	33599	0	1	0.000000	20.589839	20.589839	0.000000	0.000000	0	0	0
20	59875	1	0	0.000000	19.299758	19.269261	0.000000	0.000000	0	0	0
21	59636	1	1	0.000000	18.681216	18.676672	0.000000	0.000000	0	0	0
22	40830	1	1	0.000000	18.435023	18.435023	0.000000	0.000000	0	0	0
23	31227	1	2	0.000000	18.398790	18.387773	0.000000	0.000000	0	0	0
24	25090	0	2	0.000000	19.094380	19.088163	0.000000	0.000000	0	0	0
25	19716	0	2	0.000000	21.224792	21.224792	0.000000	0.000000	0	0	0
26	85145	2	0	0.000000	18.600505	18.592213	0.000000	0.000000	0	0	0
27	112312	1	1	0.000000	18.678547	18.664453	0.000000	0.000000	0	0	0
28	82305	2	0	0.000000	18.735107	18.731742	0.000000	0.000000	0	0	0
29	48063	1	0	0.000000	18.167135	18.138735	0.000000	0.000000	0	0	0
30	31782	1	1	0.000000	18.953527	18.942357	0.000000	0.000000	0	0	0
31	67300	1	1	0.000000	18.814324	18.788752	0.000000	0.000000	0	0	0
32	121175	1	0	0.000000	18.997087	18.988529	0.000000	0.000000	0	0	0
33	47204	0	1	0.000000	18.879163	18.867257	0.000000	0.000000	0	0	0
34	142540	1	0	0.000000	19.173544	19.149958	0.000000	0.000000	0	0	0
35	7704	0	1	0.000000	18.201843	18.201843	0.000000	0.000000	0	0	0
36	43774	1	1	0.000000	18.529104	18.527048	0.000000	0.000000	0	0	0
