# Well  well_0048
# Column 1: depth MDRKB (m)
# Column 2 : Tcorr one way time (ms)

           1000              355
           1400              723
           1500              773
           1600              821
           1800              910
           1900              959
           2000             1009
           2100             1058
           2200             1104
           2300             1148
           2315             1155
           2330             1162
           2345             1168
           2360             1175
           2375             1182
           2390             1187
           2405             1194
           2420             1199
           2435             1206
           2450             1213
           2465             1218
           2480             1225
           2495             1230
           2510             1237
           2525             1242
           2540             1248
           2555             1254
           2570             1260
           2585             1266
           2600             1273
           2615             1279
           2690             1307
           2705             1313
           2735             1326
           2750             1329
           2765             1335
           2780             1339
           2795             1345
           2810             1351
           2825             1355
           2840             1362
           2855             1367
           2870             1372
           2885             1377
           2900             1382
           2915             1387
           2930             1393
           2945             1399
           2960             1404
           2975             1409
           2990             1414
           3005             1420
           3020             1426
           3035             1431
           3050             1435
           3065             1441
           3080             1445
           3095             1450
           3110             1457
           3125             1461
           3140             1466
           3155             1472
           3170             1476
           3185             1482
           3200             1486
           3215             1491
           3230             1495
           3245             1501
           3260             1505
           3275             1510
           3290             1514
           3305             1519
           3320             1524
           3335             1529
           3350             1535
           3365             1538
           3380             1545
           3395             1550
           3410             1554
           3425             1560
           3440             1564
           3455             1571
           3470             1576
           3485             1581
           3500             1586
           3515             1591
           3530             1596
           3545             1602
           3560             1606
           3575             1612
           3590             1617
           3605             1623
           3620             1628
           3635             1632
           3650             1638
           3665             1641
           3680             1647
           3695             1650
           3710             1655
           3725             1659
           3740             1663
           3755             1666
           3770             1671
           3785             1675
           3800             1679
           3815             1682
           3830             1687
           3845             1692
           3860             1695
           3875             1699
           3890             1705
           3905             1708
           3920             1713
           3935             1717
           3947             1721
